ko_id,pathway_id
K03944,map00190
K03945,map00190
K03946,map00190
K03947,map00190
K03948,map00190
K03949,map00190
K03950,map00190
K03951,map00190
K03952,map00190
K03953,map00190
K03954,map00190
K03955,map00190
K03956,map00190
K03957,map00190
K03958,map00190
K03959,map00190
K03960,map00190
K03961,map00190
K03962,map00190
K03963,map00190
K03964,map00190
K03965,map00190
K03966,map00190
K03967,map00190
K03968,map00190
K05572,map00190
K05573,map00190
K05574,map00190
K05575,map00190
K05576,map00190
K05577,map00190
K05578,map00190
K05579,map00190
K05580,map00190
K05581,map00190
K05582,map00190
K05583,map00190
K05584,map00190
K05585,map00190
K05586,map00190
K05587,map00190
K05588,map00190
K06019,map00190
K08738,map00190
K11351,map00190
K11352,map00190
K11353,map00190
K11725,map00190
K11726,map00190
K13378,map00190
K13380,map00190
K15408,map00190
K15862,map00190
K15863,map00190
K15986,map00190
K18859,map00190
K18860,map00190
K22468,map00190
K22501,map00190
K24007,map00190
K24008,map00190
K24009,map00190
K24010,map00190
K24011,map00190
K25801,map00190
K25995,map00190
K25996,map00190
K27109,map00190
K00145,map00220
K00260,map00220
K00261,map00220
K00262,map00220
K00491,map00220
K00611,map00220
K00618,map00220
K00619,map00220
K00620,map00220
K00811,map00220
K00812,map00220
K00813,map00220
K00814,map00220
K00818,map00220
K00821,map00220
K00926,map00220
K00930,map00220
K01425,map00220
K01427,map00220
K01428,map00220
K01429,map00220
K01430,map00220
K01438,map00220
K01457,map00220
K01476,map00220
K01478,map00220
K01755,map00220
K01915,map00220
K01940,map00220
K01941,map00220
K01948,map00220
K01954,map00220
K01955,map00220
K01956,map00220
K05597,map00220
K05828,map00220
K05829,map00220
K05830,map00220
K05831,map00220
K09065,map00220
K11067,map00220
K11358,map00220
K11540,map00220
K11541,map00220
K12659,map00220
K13240,map00220
K13241,map00220
K13242,map00220
K13427,map00220
K14048,map00220
K14260,map00220
K14272,map00220
K14454,map00220
K14455,map00220
K14541,map00220
K14677,map00220
K14681,map00220
K14682,map00220
K15371,map00220
K19412,map00220
K22476,map00220
K22477,map00220
K22478,map00220
K23265,map00220
K25032,map00220
K27542,map00220
K27545,map00220
K00073,map00230
K00087,map00230
K00088,map00230
K00106,map00230
K00364,map00230
K00365,map00230
K00524,map00230
K00525,map00230
K00526,map00230
K00527,map00230
K00601,map00230
K00602,map00230
K00759,map00230
K00760,map00230
K00764,map00230
K00769,map00230
K00839,map00230
K00856,map00230
K00860,map00230
K00892,map00230
K00893,map00230
K00904,map00230
K00926,map00230
K00939,map00230
K00940,map00230
K00942,map00230
K00944,map00230
K00948,map00230
K00951,map00230
K00955,map00230
K00956,map00230
K00957,map00230
K00958,map00230
K00988,map00230
K01081,map00230
K01119,map00230
K01120,map00230
K01129,map00230
K01139,map00230
K01239,map00230
K01241,map00230
K01427,map00230
K01428,map00230
K01429,map00230
K01430,map00230
K01466,map00230
K01477,map00230
K01483,map00230
K01486,map00230
K01487,map00230
K01488,map00230
K01490,map00230
K01492,map00230
K01509,map00230
K01510,map00230
K01511,map00230
K01513,map00230
K01514,map00230
K01515,map00230
K01517,map00230
K01518,map00230
K01519,map00230
K01522,map00230
K01524,map00230
K01525,map00230
K01529,map00230
K01587,map00230
K01588,map00230
K01589,map00230
K01756,map00230
K01768,map00230
K01769,map00230
K01835,map00230
K01839,map00230
K01923,map00230
K01933,map00230
K01939,map00230
K01945,map00230
K01951,map00230
K01952,map00230
K02083,map00230
K02381,map00230
K02566,map00230
K03651,map00230
K03783,map00230
K03784,map00230
K03787,map00230
K03816,map00230
K04765,map00230
K05810,map00230
K05851,map00230
K05873,map00230
K05961,map00230
K06863,map00230
K06928,map00230
K06952,map00230
K06966,map00230
K07023,map00230
K07097,map00230
K07127,map00230
K07816,map00230
K08041,map00230
K08042,map00230
K08043,map00230
K08044,map00230
K08045,map00230
K08046,map00230
K08047,map00230
K08048,map00230
K08049,map00230
K08289,map00230
K08312,map00230
K08693,map00230
K08718,map00230
K08722,map00230
K09769,map00230
K09913,map00230
K10353,map00230
K10807,map00230
K10808,map00230
K11029,map00230
K11175,map00230
K11176,map00230
K11177,map00230
K11178,map00230
K11265,map00230
K11751,map00230
K11787,map00230
K11788,map00230
K11808,map00230
K12304,map00230
K12305,map00230
K12318,map00230
K12319,map00230
K12320,map00230
K12321,map00230
K12322,map00230
K12323,map00230
K12324,map00230
K13293,map00230
K13294,map00230
K13296,map00230
K13298,map00230
K13479,map00230
K13480,map00230
K13481,map00230
K13482,map00230
K13483,map00230
K13484,map00230
K13485,map00230
K13713,map00230
K13755,map00230
K13756,map00230
K13757,map00230
K13758,map00230
K13759,map00230
K13760,map00230
K13761,map00230
K13762,map00230
K13763,map00230
K13811,map00230
K13987,map00230
K13988,map00230
K14048,map00230
K14641,map00230
K14642,map00230
K14977,map00230
K15518,map00230
K15519,map00230
K15778,map00230
K15779,map00230
K15780,map00230
K16838,map00230
K16839,map00230
K16840,map00230
K16841,map00230
K16842,map00230
K16855,map00230
K16856,map00230
K18151,map00230
K18283,map00230
K18424,map00230
K18436,map00230
K18437,map00230
K18438,map00230
K18445,map00230
K18447,map00230
K18453,map00230
K18532,map00230
K18533,map00230
K18550,map00230
K18931,map00230
K19021,map00230
K19572,map00230
K19710,map00230
K19836,map00230
K19964,map00230
K19970,map00230
K20881,map00230
K21053,map00230
K21138,map00230
K21636,map00230
K22026,map00230
K22199,map00230
K22600,map00230
K22601,map00230
K22602,map00230
K22879,map00230
K22944,map00230
K23264,map00230
K23265,map00230
K23269,map00230
K23270,map00230
K24670,map00230
K24871,map00230
K24972,map00230
K25500,map00230
K25589,map00230
K25641,map00230
K26110,map00230
K26211,map00230
K26212,map00230
K26955,map00230
K26956,map00230
K27625,map00230
K28089,map00230
K28794,map00230
K28795,map00230
K00106,map00232
K00365,map00232
K00492,map00232
K00622,map00232
K07409,map00232
K12729,map00232
K12730,map00232
K12731,map00232
K16838,map00232
K17683,map00232
K21673,map00232
K21674,map00232
K21675,map00232
K21722,map00232
K21723,map00232
K21724,map00232
K00207,map00240
K00226,map00240
K00254,map00240
K00524,map00240
K00525,map00240
K00526,map00240
K00527,map00240
K00560,map00240
K00608,map00240
K00609,map00240
K00610,map00240
K00756,map00240
K00757,map00240
K00758,map00240
K00761,map00240
K00762,map00240
K00857,map00240
K00876,map00240
K00893,map00240
K00940,map00240
K00943,map00240
K00945,map00240
K01081,map00240
K01119,map00240
K01240,map00240
K01250,map00240
K01431,map00240
K01464,map00240
K01465,map00240
K01485,map00240
K01489,map00240
K01493,map00240
K01494,map00240
K01510,map00240
K01511,map00240
K01513,map00240
K01518,map00240
K01520,map00240
K01591,map00240
K01937,map00240
K01954,map00240
K01955,map00240
K01956,map00240
K02566,map00240
K02823,map00240
K02825,map00240
K03365,map00240
K03465,map00240
K03787,map00240
K04765,map00240
K05961,map00240
K06016,map00240
K06287,map00240
K06952,map00240
K06966,map00240
K07023,map00240
K07043,map00240
K08320,map00240
K08693,map00240
K08722,map00240
K08723,map00240
K09018,map00240
K09019,map00240
K09020,map00240
K09021,map00240
K09023,map00240
K09024,map00240
K09769,map00240
K09887,map00240
K09903,map00240
K09913,map00240
K10213,map00240
K10807,map00240
K10808,map00240
K11540,map00240
K11541,map00240
K11751,map00240
K12304,map00240
K12305,map00240
K12700,map00240
K13421,map00240
K13799,map00240
K13800,map00240
K13809,map00240
K13998,map00240
K14641,map00240
K14642,map00240
K15519,map00240
K16066,map00240
K16328,map00240
K16329,map00240
K16330,map00240
K16904,map00240
K17722,map00240
K17723,map00240
K17828,map00240
K18533,map00240
K18931,map00240
K19794,map00240
K19795,map00240
K19796,map00240
K19797,map00240
K19970,map00240
K21057,map00240
K21636,map00240
K22026,map00240
K24242,map00240
K24670,map00240
K25434,map00240
K25435,map00240
K25589,map00240
K26955,map00240
K27603,map00240
K27604,map00240
K28865,map00240
K00135,map00250
K00139,map00250
K00259,map00250
K00260,map00250
K00261,map00250
K00262,map00250
K00264,map00250
K00265,map00250
K00266,map00250
K00272,map00250
K00278,map00250
K00294,map00250
K00608,map00250
K00609,map00250
K00610,map00250
K00764,map00250
K00811,map00250
K00812,map00250
K00813,map00250
K00814,map00250
K00820,map00250
K00823,map00250
K00827,map00250
K00830,map00250
K01424,map00250
K01425,map00250
K01437,map00250
K01580,map00250
K01744,map00250
K01755,map00250
K01756,map00250
K01779,map00250
K01914,map00250
K01915,map00250
K01939,map00250
K01940,map00250
K01948,map00250
K01953,map00250
K01954,map00250
K01955,map00250
K01956,map00250
K03334,map00250
K05597,map00250
K07250,map00250
K08324,map00250
K08590,map00250
K09758,map00250
K11358,map00250
K11540,map00250
K11541,map00250
K13051,map00250
K13524,map00250
K13566,map00250
K13821,map00250
K14260,map00250
K14268,map00250
K14272,map00250
K14454,map00250
